Key,lang-en.json,lang-ht.json,lang-ru.json,lang-zh-hans.json,lang-ko.json,lang-vi.json,lang-es.json,lang-zh-hant.json
agi.p.alimonyTT2,Don't include amounts you paid for:,Pa enkli montan ou peye anvan:,"Не включайте суммы, за которые вы заплатили:",不要包含如下已支付的款额：,다음 사항에 지불한 금액은 포함하지 마세요.,Vui lòng không bao gồm những khoản mà quý vị đã trả cho:,No incluya los montos que usted pagó por:,請勿包含您基於以下原因支付的金額：
agi.p.alimonyTT3,Also don't include amounts if the court order was modified and states that you can't deduct your payments.,Pa enkli montan yo non plis si òdonans tribinal la te modifye e deklare ou pa ka dedui pèman ou,"Также не включайте суммы, если решение суда было изменено и гласит, что вы не можете вычитать свои платежи.",此外，如果法院命令被修改，并且声明您不能进行抵税，则不要包含该等相关款额。,법원 명령이 변경되었고 귀하가 납부금을 공제할 수 없다는 언급이 있다면 금액을 포함하지 마세요.,Ngoài ra cũng không bao gồm các khoản tiền nếu án lệnh đã được sửa đổi và tuyên bố rằng quý vị không thể khấu trừ các khoản thanh toán của mình.,Tampoco incluya los montos si se modificó la orden judicial o si indica que no puede deducir sus pagos.,如果法院命令被修改並聲明您不能扣除您支付的款項，也請不要包括金額。
agi.p.alimonyTT4,"Alimony or separate maintenance made under a court order executed after December 31, :year",Pou plis enfòmasyon vizite :taxTopic452,Для получения дополнительной информации перейдите по ссылке :taxTopic452,欲了解更多信息，请访问 :taxTopic452,자세한 정보는 :taxTopic452를 방문하세요.,"Để biết thêm thông tin, truy cập :taxTopic452","Para obtener más información, visite :taxTopic452",如需瞭解更多資訊，請前往 :taxTopic452
agi.p.alimonyTT5,"For more information, see :taxTopic452.","Si ou vèse pansyon alimantè oubyen pèman antresyen separe selon òdonans yon tribinal egzekite anvan 1 janvye, :year1 epi lòd la pa endike ou pa ka dedui pèman ou, antre monte ou peye pandan :year2 an la.
","Если вы выплачивали алименты или содержание супругу(е) после заключения юридического соглашения о раздельном жительстве по решению суда, принятого до 1 января :year1, и в решении не было указано, что вы не можете вычитать свои выплаты, введите здесь сумму, которую вы выплатили в течение :year2.",如果您根据 :year1 1 月 1 日之前执行的法院命令支付了赡养费或分居赡养费，并且该命令没有明确说明您不能进行抵税，请在此处输入您在 :year2 期间支付的款额。, :year1년 1월 1일 전에 시행된 법원 명령에 따라 이혼 혹은 별거 수당을 지불했고 해당 명령이 귀하의 지원금을 공제할 수 없다는 구체적 언급이 없다면 :year2 동안 납부한 금액을 여기에 입력하세요.,"Nếu quý vị đã thực hiện khoản tiền trợ cấp ly hôn hay khoản tiền cấp dưỡng sau ly thân theo án lệnh được thực hiện trước ngày 1 tháng 1 năm :year1 và lệnh đó không nêu cụ thể rằng quý vị không thể khấu trừ các khoản thanh toán của mình, hãy nhập số tiền quý vị đã trả trong :year2 tại đây.","Se pagó la pensión para el cónyuge divorciado o la manutención por separación conforme a una orden judicial ejecutada antes del 1 de enero de :year1 y la orden no indicaba específicamente que no puede deducir sus pagos, ingrese aquí el monto que pagó durante el año :year2.",如果您在 :year1 年 1 月 1 日前執行了法院命令支付的贍養費或分居贍養費，並且該命令沒有明確說明您不能扣除您支付的款項，請在此處填入您在 :year2 年期間支付的金額。
agi.p.alimonyTT6,"If you made alimony or separate maintenance payments under a court order that was executed before January 1, 2019 and the order didn't specifically state that you can't deduct your payments, enter the amount you paid during year here.",,,,,,,
agi.p.businessTT1,If you are a/an:,Si ou se yon:,Если вы:,如果您为：,귀하가 다음과 같은 경우,Nếu quý vị là:,Si usted es:,如果您是：
agi.p.businessTT2,"You may include expenses that are common and accepted in your field of trade, business, or profession, or expenses for things that are helpful and appropriate for your business.","Ou kapab enkli depans ki kouran e aksepte nan domèn komès ou, biznis, oubyen pwofesyon, oubyen depans pou bagay ki itil ak apwopriye pou biznis ou.","Вы можете включить расходы, которые являются привычными и принятыми в вашей сфере торговли, бизнеса или профессии, или расходы на вещи, которые полезны и подходят для вашего бизнеса.",您可以包括在您的贸易、业务或专业领域中常见且可接受的支出，或对您的业务有益且合适的支出。,"귀하의 거래, 사업, 전문직업 영역에서 일반적으로 허용되는 비용 혹은 귀하의 사업에 도움이 되고 적절한 비용을 포함할 수 있습니다.","Quý vị có thể bao gồm những chi phí phổ biến và được chấp nhận trong lĩnh vực thương mại, kinh doanh hoặc nghề nghiệp của mình hoặc chi phí cho những thứ hữu ích và thích hợp cho doanh nghiệp của quý vị.","Puede incluir los gastos que son comunes y aceptados en su ámbito comercial, negocio o profesión, o los gastos por cosas que son de ayuda y adecuadas para su negocio.",您可以包括在您的貿易、業務或專業領域中常見和可接受的費用，或對您的業務有幫助並適合的費用。
agi.p.businessTT3,"If you don't fit into one of the listed categories, you may not claim adjustments for these expenses.","Si ou pa matche nan youn nan kategori yo, ou pa dwe reklame ajisteman pou depasn sa yo.","Если вы не подходите ни под одну из перечисленных категорий, вы не можете требовать поправок на эти расходы.",如果您的支出不属于所列类别之一，您可能无法申请这些支出的调整。,목록의 카테고리 중 하나에 속하지 않는다면 이 비용에 대해 조정을 신청할 수 없습니다.,"Nếu không phù hợp với một trong những loại được liệt kê, quý vị có thể không kê khai các mục điều chỉnh cho những chi phí này.","Si no entra en ninguna de las categorías enumeradas, no puede reclamar los ajustes para estos gastos.",如果您不屬於所列的其中一項類別，您則不得要求對這些費用進行調整。
agi.p.businessTT4,"For more information and a list of qualified expenses, see :form2106.","Pou plis enfòmasyon ak yon list depans elijib, gade :form2106.",Более подробную информацию и список соответствующих расходов см. в :form2106.,有关更多信息和符合条件的支出列表，请参阅 :form2106。,자세한 정보와 전격 비용의 목록을 알고 싶다면  :form2106를 확인하세요. ,"Để biết thêm thông tin và danh sách các chi phí đủ điều kiện, xem :form2106.","Para obtener más información y una lista de los gastos calificados, consulte :form2106.",有關更多資訊和合格費用清單，請參閱 :form2106。
agi.p.cafeteriaTT1,"A ""cafeteria plan"" is a collection of benefits offered by your employer where you can choose what you want to participate in.","Yon ""plan kafeterya"" se yon koleksyon avantaj anplwayè ou ofri kote ou ka Seleksyone sa ou vle patisipe ladan l.","План «кафетерий» (программа, предлагающая работникам выбирать наиболее привлекательную для них форму пенсионного обеспечения) - это набор льгот, предлагаемых вашим работодателем, в котором вы можете выбрать, в чем вы хотите участвовать.",“自助餐式福利计划”是雇主提供的一系列福利，您可以在其中选择自己想参加的计划。,"""카페테리아 플랜""은 귀하의 고용주에 의해 제공되는 혜택의 모음으로 귀하는 참여하고 싶은 것을 선택합니다.","“Chương trình phúc lợi tự chọn” là một bộ phúc lợi do chủ lao động của quý vị cung cấp, ở đó quý vị có thể chọn những mục mà bản thân muốn tham gia.","Un ""plan cafetería"" es una colección de beneficios que su empleado ofrece donde usted puede elegir en qué desea participar.",「自助選配計劃」是您的僱主提供的一系列福利，您可以在其中選擇您想參加的項目。
agi.p.cafeteriaTT2,Enter any pre-tax contributions (payroll deductions) from any of the following:,Antre nenpòt kontribisyon anvan enpo (dediksyon sou pewòl) apati nenpòt sa yo:,Внесите любые взносы до уплаты налогов (вычеты из заработной платы) из любого из следующего:,输入以下任何一项的税前供款（从工资中扣除）：,다음 중 세전 기여(급여 공제)를 입력하세요.,Nhập bất kỳ khoản đóng góp trước thuế nào (khấu trừ tiền lương) từ bất kỳ khoản nào sau đây:,Ingrese las aportaciones antes de los impuestos (deducciones de la nómina) de cualquiera de las siguientes opciones:,填入來自以下任何一項的任何稅前投入金額（工資扣除額）：
agi.p.disabilityRetirementTT1,"If you retired on disability, we consider the taxable benefits you received under your employer's disability retirement plan earned income for the purposes of the EITC until you reach minimum retirement age. The minimum retirement age is the earliest age at which you could have received a pension or annuity if you weren’t disabled.","Si ou pran retrèt ou sou andikap, nou konsidere benefis taksab ou te resevwa nan revni ou touche sou plan retrèt andikap anplwayè w la pou rezon EITC a jiskaske ou rive laj minimòm pou pran retrèt. Laj pou pran retrèt minimòm se laj pi bonè kote ou te kapab resevwa yon pansyon oswa pansyon anyèl si ou pa te andikape.","Если вы вышли на пенсию по инвалидности, мы считаем налогооблагаемые пособия, которые вы получили в соответствии с пенсионным планом вашего работодателя по инвалидности, заработанным доходом для целей EITC до достижения вами минимального пенсионного возраста. Минимальный пенсионный возраст – это самый ранний возраст, в котором вы могли бы получать пенсию или аннуитет, если бы не были нетрудоспособны.",如果您因残疾而退休，我们会出于 EITC 之目的考虑您在雇主的残疾退休计划下获得的应税福利，直到您达到最低退休年龄。最低退休年龄是您在没有残疾的情况下本应可以领取养老金或年金的最早年龄。,"장애로 은퇴한 경우, 고용주의 장애 퇴직 계획에 따라 받은 과세 혜택은 근로소득으로 간주됩니다. 이는 최소 퇴직 연령에 도달할 때까지 EITC 산정 목적에 적용됩니다. 최소 퇴직 연령은 장애가 없었다면 연금 또는 연금 수당을 받을 수 있는 가장 이른 연령을 의미합니다.","Nếu quý vị nghỉ hưu vì khuyết tật, chúng tôi xem xét các khoản trợ cấp chịu thuế mà quý vị nhận được theo chương trình hưu trí khuyết tật của chủ lao động là thu nhập kiếm được cho các mục đích của EITC cho đến khi quý vị đạt đến tuổi nghỉ hưu tối thiểu. Tuổi nghỉ hưu tối thiểu là độ tuổi sớm nhất mà quý vị có thể nhận được lương hưu hoặc niên kim nếu quý vị không bị khuyết tật.","Si usted se jubiló por discapacidad, consideramos que los beneficios tributables que usted recibió conforme el plan de jubilación por discapacidad de su empleador, son ingresos del trabajo para los propósitos del Crédito tributario por ingreso del trabajo (EITC, por sus siglas en inglés), hasta que usted cumpla con la edad mínima para la jubilación. La edad mínima para la jubilación es la edad más temprana en la que usted hubiera podido recibir una pensión o anualidad, si no estuviera discapacitado.",如果您因殘疾而退休，我們會出於 EITC 之目的考慮您在雇主的殘疾退休計畫下獲得的應稅福利，直到您達到最低退休年齡。最低退休年齡是您在沒有殘疾的情況下本應可以領取養老金或年金的最早年齡。
agi.p.disabilityRetirementTT2,Include temporary or short-term disability in your wages.,Mete andikap tanporè oswa pou yon andikap akoutèm nan salè ou.,Включите временную или краткосрочную нетрудоспособность в свой заработок.,将暂时或短期残疾福利计入您的工资。,임금에 일시적 또는 단기 장애 급여를 포함하십시오.,Bao gồm khuyết tật tạm thời hoặc ngắn hạn trong tiền lương của quý vị.,Incluya la incapacidad temporal o de corto plazo en su salario.,將暫時或短期殘疾福利計入您的工資。
agi.p.earlyWithdrawalPenaltyTT,"If you withdraw funds from a certificate of deposit or other deferred interest account before maturity, you may be charged a penalty. You can find this penalty on your Form 1099-INT in :box2. Enter that amount here.","Si ou retire fon apati yon sètifika oubyen yon depo oubyen lòt kont enterè difere navan matirasyon, yo kapab chaje w penalite. Ou kapab jwenn penalite sa a an Fòmilè 1099-INT nan :box2. Antre montan sa a la","Если вы снимете средства с депозитного сертификата или другого счета с отложенным процентом до наступления установленного срока, с вас может быть взыскан штраф. Вы можете найти этот штраф в вашей форме 1099-INT в :box2. Введите эту сумму здесь.",如果您在存单或其他递延利息账户到期前支取资金，您可能需要支付罚金。您可以在 :box2 的表格 1099-INT 中找到此项罚金。在此处输入款额。,"만기 전 양도성 예금 증서나 기타 이연 이자 계정에서 자금을 인출한다면, 과징금이 부과될 수 있습니다. 귀하는 이 과징금에 대해 :box2에 양식 1099- INT에서 확인할 수 있습니다. 해당 금액을 여기에 입력하세요.","Nếu rút tiền từ chứng thư gửi tiền định kỳ hoặc tài khoản tiền lãi được hoãn khác trước hạn, quý vị có thể phải chịu một khoản tiền phạt. Quý vị có thể tìm thấy thông tin về khoản tiền phạt này trên Mẫu 1099-INT trong :box2. Nhập khoản đó tại đây.","Si retiró fondos de un certificado de depósito u otra cuenta de intereses diferidos antes del vencimiento, es posible que se le cobre una multa. Puede encontrar esta multa en el Formulario 1099-IN, en la :box2. Ingrese aquí el monto.",如果您在到期前從定存或其他遞延利息帳戶中提取資金，您可能會被罰款。您可以在您的《表格 1099-INT》的 :box2 中找到此處罰。在此處填入該金額。
agi.p.earnedIncomeDisqualifier1,"Based on the amounts you entered, you can't claim the earned income credit because your earned income is over the limit for your filing status and number of qualifying children.","Sou baz montan ou antre a, ou pa ka reklame kredi paske revni ou genyen depase limit deklarasyon estati w ak kantite timoun elijib.","Исходя из введенных вами сумм, вы не можете претендовать на налоговый зачет за заработанный доход, поскольку ваш доход превышает лимит для вашего статуса подачи документов и количества детей, отвечающих требованиям.",根据您输入的款额，您不能申请劳动所得抵免，因为您的劳动所得超出了您的申请状态和符合条件的子女数量的限制。,귀하가 입력한 금액에 따라 귀하의 근로 소득은 귀하의 신고 지위의 한도와 적격 자녀의 수를 초과하였으므로 귀하는 근로 소득 공제를 신청하지 못합니다.,"Dựa trên những số tiền bản thân đã nhập, quý vị không thể yêu cầu tín thuế thu nhập kiếm được vì có thu nhập kiếm được vượt quá hạn mức đối với tư cách khai thuế và số trẻ đủ điều kiện của quý vị.","Según los montos que ingresó, no puede reclamar el crédito por ingreso del trabajo porque sus ingresos del trabajo superan el límite para su estado civil para los efectos de la declaración y el número de hijos que reúnen los requisitos.",根據您填入的金額，您無法申領勞動所得稅務優惠，因為您的勞動所得超出了您的報稅身份和合格子女人數的限制。
agi.p.earnedIncomeDisqualifier2,":note For more information about the income limits for the Earned Income Credit, see :tablesLink.",":note Pou plis enfòmasyon apwopo limit revni la pou Kredi revni Ou Genyen, gade :tablesLink.",:note Для получения дополнительной информации о лимитах доходов для налогового зачета за заработанный доход см :tablesLink.,:note 有关劳动所得抵免的收入限额的更多信息，请参阅 :tablesLink。,:note 근로 소득 공제의 소득 한도에 대한 자세한 정보는 소득 한도를 :tablesLink 참조하세요.,":note Để biết thêm thông tin về các hạn mức thu nhập cho Tín Thuế Thu Nhập Kiếm Được, xem :tablesLink.",":note Para obtener más información sobre los límites de los ingresos para el crédito por ingreso del trabajo, consulte :tablesLink.",:note 有關勞動所得稅務優惠的收入限制的更多資訊，請參閱 :tablesLink。
agi.p.educatorTT1,"If you're a teacher, enter up to $300 ($600 if married filing jointly and both you and your spouse are teachers) of unreimbursed expenses such as:","
Si ou se yon pwofesè, antre jiska $250 ($500 si konjwen ap deklare ansanm epi toulède ou menm ak madanm ou se pwofesè) nan depans ki pa ranbouse tankou:","Если вы учитель, укажите сумму до $250 ($500, если вы состоите в браке и оба супруга являются учителями) на невозмещенные расходы, такие как:",如果您是一名教师，请输入最高 250 美元（如果是已婚夫妇联合申报，且您和您的配偶均为教师，则为 500 美元）的未补偿费用，例如：,"귀하가 교사라면, 최대 $250 (부부 공동 신고이며 귀하와 귀하의 배우자 모두 교사이면 $500)의 보상 금액을 입력합니다. 예를 들어:","Nếu quý vị là giáo viên, hãy nhập tối đa $250 ($500 nếu vợ chồng quý vị khai chung hồ sơ thuế và cả quý vị và người phối ngẫu của quý vị đều là giáo viên) cho những chi phí chưa được hoàn lại như:","Si trabaja es un/a maestro/a, ingrese hasta $250 ($500 si está casado/a y presenta una declaración conjunta y si usted y su cónyuge son maestros) de los gastos no reembolsados tales como:",如果您是教師，請填入最多 250 美元（如果已婚共同申報且您和您的配偶都是教師，則為 500 美元）的未核銷費用，例如：
agi.p.educatorTT2,"For more information, see :taxTopic458.",Pou plis enfòmasyon gade :taxTopic458,Более подробную информацию можно найти на сайте :taxTopic458,欲了解更多信息，请参阅 :taxTopic458,자세한 정보는 :taxTopic458를 방문하세요.,"Để biết thêm thông tin, xem :taxTopic458","Para obtener más información, visite :taxTopic458",如需瞭解更多資訊，請參閱 :taxTopic458
agi.p.educatorTT3,"If you're a teacher, enter up to $300 ($600 if married filing jointly and both you and your spouse are teachers) of unreimbursed expenses such as:","
Si ou se yon pwofesè, antre jiska $300 ($600 si konjwen ap deklare ansanm epi toulède ou menm ak madanm ou se pwofesè) nan depans ki pa ranbouse tankou:","Если вы учитель, укажите сумму до $300 ($600, если вы состоите в браке и оба супруга являются учителями) на невозмещенные расходы, такие как:",如果您是一名教师，请输入最高 300 美元（如果是已婚夫妇联合申报，且您和您的配偶均为教师，则为 600 美元）的未补偿费用，例如：,"귀하가 교사라면, 최대 $300 (부부 공동 신고이며 귀하와 귀하의 배우자 모두 교사이면 $600)의 보상 금액을 입력합니다. 예를 들어:","Nếu quý vị là giáo viên, hãy nhập tối đa $300 ($600 nếu vợ chồng quý vị khai chung hồ sơ thuế và cả quý vị và người phối ngẫu của quý vị đều là giáo viên) cho những chi phí chưa được hoàn lại như:","Si trabaja es un/a maestro/a, ingrese hasta $300 ($600 si está casado/a y presenta una declaración conjunta y si usted y su cónyuge son maestros) de los gastos no reembolsados tales como:",如果您是教師，請填入最多 300 美元（如果已婚共同申報且您和您的配偶都是教師，則為 600 美元）的未核銷費用，例如：
agi.p.federalIncomeNotWithheldNote,Your self employment tax is being correctly calculated and applied to your Adjusted Gross Income (AGI).,,,,,,,
agi.p.federalIncomeNotWithheldSubheading,Select Adjustments to Income:,Select Adjustments to Income:,Выберите корректировки к доходу:,选择收入调整：,소득에 조정액을 선택하세요.,Chọn Các Mục Điều Chỉnh đối với Thu Nhập:,Selecciones los ajustes a los ingresos:,選擇收入調整：
agi.p.federalIncomeNotWithheldTT1,"Report income earned from gig work, even if it's a side job, part time or temporary.","Rapòte revni touche nan travay gig, menm si se yon travay sou kote, tan pasyèl, oswa tanporè.","Сообщите о доходах, полученных от экономики свободного заработка, даже если это дополнительная работа, работа на неполный рабочий день или временная работа.",报告零工收入，即使是副业、兼职或临时工作。,"부업, 파트타임 또는 임시직이더라도 긱 작업에서 얻은 소득을 보고하십시오.","Báo cáo thu nhập kiếm được từ công việc tự do, ngay cả khi đó là công việc phụ, bán thời gian hoặc tạm thời.","Informe sus ingresos del trabajo en la economía compartida, incluso si es un trabajo secundario, a tiempo parcial o temporal.",報告零工收入，即使是副業、兼職或臨時工作。
agi.p.federalIncomeNotWithheldTT2,Enter income here if you earn money from a job even if income taxes were not withheld. You may or may not have received a Form 1099 for all income.,Mete revni isit la si ou touche lajan nan yon travay menm si yo pa t kenbe taks sou revni. Ou ka oswa ka pa te resevwa yon Fòm 1099 pou tout revni. ,"Укажите здесь доход, если вы получаете деньги от работы, даже если подоходный налог не удерживался. Возможно, вы получили или не получили Форму 1099 для всех доходов.",如果您从工作中赚到钱，即使没有预扣所得税，也可以在此处输入收入。您可能已经或可能没有收到适用于所有收入的《表格 1099》。,소득세가 원천징수되지 않았더라도 근로를 통해 소득을 얻은 경우 여기에 입력하십시오. 모든 소득에 대해 양식 1099를 받았을 수도 있고 받지 못했을 수도 있습니다.,Nhập thu nhập ở đây nếu quý vị kiếm được tiền từ một công việc ngay cả khi thuế thu nhập không được khấu trừ. Quý vị có thể đã nhận được hoặc không nhận được Mẫu 1099 cho tất cả các khoản thu nhập. ,"Ingrese aquí los ingresos si gana dinero de un trabajo, aunque no se retuvieron los ingresos federales sobre los ingresos. Puede que haya recibido o no un Formulario 1099 para todos los ingresos.",如果您從工作中賺到錢，即使沒有預扣所得稅，也可以在此處輸入收入。您可能已經或可能沒有收到適用於所有收入的《表格 1099》。
agi.p.federalIncomeNotWithheldTT3,The income may have been earned through an app or website to:,Revni an ka te touche atravè yon aplikasyon oswa yon sit entènèt pou:,Доход мог быть получен через приложение или веб-сайт за:,这些收入可能经由应用程序或网站通过以下方式赚取：,소득은 다음과 같은 목적으로 앱 또는 웹사이트를 통해 발생했을 수 있습니다.,Thu nhập có thể kiếm được thông qua một ứng dụng hoặc trang web để:,Los ingresos pueden haberse generado mediante un aplicación o sitio web por:,這些收入可能經由應用程式或網站透過以下方式賺取：
agi.p.federalIncomeNotWithheldTT4,Your gross income includes all the income you received. We will subtract your expenses later.,"Pou plis enfòmasyon, visit :manageTaxesForYourGigWork",Для получения дополнительной информации перейдите по ссылке :manageTaxesForYourGigWork,欲了解更多信息，请访问 :manageTaxesForYourGigWork,자세한 정보는 :manageTaxesForYourGigWork 방문하세요.,"Để biết thêm thông tin, truy cập :manageTaxesForYourGigWork",Sus ingresos brutos comprenden todo el ingreso que usted recibió. Restaremos sus gastos más adelante.,如需瞭解更多資訊，請前往 :manageTaxesForYourGigWork
agi.p.federalIncomeNotWithheldTT5,"For more information, visit :manageTaxesForYourGigWork","Pou plis enfòmasyon, vizite :manageTaxesForYourGigWork",Для получения дополнительной информации перейдите по ссылке :manageTaxesForYourGigWork,欲了解更多信息，请访问 :manageTaxesForYourGigWork,자세한 정보는 :manageTaxesForYourGigWork 방문하세요.,"Để biết thêm thông tin, truy cập :manageTaxesForYourGigWork","Para más información, consulte la página :manageTaxesForYourGigWork*",如需瞭解更多資訊，請前往 :manageTaxesForYourGigWork
agi.p.foreignEarnedIncomeTT,,,,,2555(해외 근로소득 관련 안내)를 참조하십시오.,,,
agi.p.foreignEarnedIncomeTT1,"Foreign earned income is income earned while living and working outside the United States, District of Columbia, or U.S. possessions or territories.","Revni yo touche aletranje se revni yo touche pandan y ap viv ak travay andeyò Etazini, Distri Columbia, oswa posesyon oswa teritwa Etazini.","Доход, полученный за рубежом, — это доход, полученный во время проживания и работы за пределами Соединенных Штатов, округа Колумбия или владений или территорий США.",境外所得收入是指在美国、哥伦比亚特区或美国属地或领土以外生活和工作时赚取的收入。,"해외 근로소득은 미국, 컬럼비아 특별구 또는 미국 영토·속령 이외의 지역에서 거주하며 일하면서 벌어들인 소득을 말합니다.","Thu nhập kiếm được ở nước ngoài là thu nhập kiếm được khi sống và làm việc bên ngoài Hoa Kỳ, Đặc khu Columbia hoặc các thuộc địa hoặc vùng lãnh thổ của Hoa Kỳ.","Ingresos devengados en el extranjero son ingresos que generó mientras vivía y trabajaba fuera de los Estados Unidos, el Distrito de Columbia, o de las posesiones o territorios estadounidenses.",境外所得收入是指在美國、哥倫比亞特區或美國屬地或領土以外生活和工作時賺取的收入。
agi.p.foreignEarnedIncomeTT2,"If you’re a U.S. government employee working outside the United States, that income is not considered foreign earned.","Si ou se yon anplwaye gouvènman ameriken k ap travay andeyò Etazini, revni sa a pa konsidere kòm revni ki touche aletranje.","Если вы являетесь государственным служащим США, работающим за пределами Соединенных Штатов, этот доход не считается полученным за рубежом.",如果您是在美国境外工作的美国政府雇员，则该收入不应视为境外所得收入。,"미국 외 지역에서 근무하는 미국 공무원의 경우, 해당 소득은 해외 근로소득으로 간주되지 않습니다.","xNếu quý vị là nhân viên chính phủ Hoa Kỳ làm việc bên ngoài Hoa Kỳ, thu nhập đó không được coi là kiếm được ở nước ngoài.","Si usted es empleado del gobierno de los Estados Unidos trabajando fuera de los Estados Unidos, ese ingreso no se considera ingreso devengado en el extranjero.",如果您是在美國境外工作的美國政府雇員，則該收入不應視為境外所得收入。
agi.p.foreignEarnedIncomeTT3,"If you're not a government employee and you work at an embassy, we consider that income as foreign income for the EITC.","Si ou pa yon anplwaye gouvènman an epi wap travay nan yon anbasad, nou konsidere revni sa kòm revni ki touche aletranje.","Если вы не являетесь государственным служащим и работаете в посольстве, мы считаем этот доход полученным за рубежом.",如果您不是政府雇员并且在大使馆工作，我们将该收入视为境外所得收入。,공무원이 아니고 대사관에서 근무하는 경우 해당 소득은 해외에서 벌어들인 것으로 간주합니다.,"Nếu quý vị không phải là nhân viên chính phủ và quý vị làm việc tại đại sứ quán, chúng tôi coi thu nhập đó là kiếm được từ nước ngoài.","Si usted no es un empleado del gobierno y trabaja en una embajada, consideramos que ese ingreso es devengado en el extranjero",如果您不是政府雇員並且在大使館工作，我們將該收入視為境外所得收入。
agi.p.foreignEarnedIncomeTT4,"For more information, see :form2555.","Pou plis enfòmasyon, gade :form2555",Для получения дополнительной информации см. раздел :form2555,有关详细信息，请参阅关于,자세한 내용은 양식 :form2555,"Để biết thêm thông tin, hãy xem :form2555","Para más información, consulte la página :form2555 (información sobre el Formulario 2555, Ingreso devengado en el extranjero)*** en inglés. ",有關詳細資訊，請參閱
agi.p.foreignEarnedIncomeTT5,"Note: If you elect to file Form 2555, you are not eligible to claim the EITC.","Nòt: Si ou chwazi ranpli Fòm 2555, ou pa kalifye pou reklame EITC a.","Примечание: Если вы решите подать Форму 2555, вы не имеете права на получение EITC.",注意：如果您选择提交《表格 2555》，则您不符合资格申请 EITC。,메모: 양식 2555를 제출하기로 선택한 경우 EITC를 청구할 수 없습니다.,"Lưu ý: Nếu quý vị chọn nộp Mẫu 2555, quý vị không đủ điều kiện để yêu cầu EITC.","Nota: si decide presentar el Formulario 2555, usted no es elegible para reclamar el crédito tributario por ingreso del trabajo (EITC, por sus siglas en inglés).",注意：如果您選擇提交《表格 2555》，則您不符合資格申請 EITC。
agi.p.healthInsuranceTT,"Enter any premiums you paid pre-tax for health insurance that you didn't include in the HSA, FSA, or other “cafeteria plan” section.","Antre nenpòt prim ou te peye anvan taks pou asirans maladi ou pa ajoute nan HSA, FSA, oubyen lòt seksyon ""plan kafeterya"".","Внесите все страховые премии, уплаченные до уплаты налогов за медицинское страхование, которые вы не включили в раздел HSA, FSA или другой «план кафетерия» (Программа, предлагающая работникам выбирать наиболее привлекательную для них форму пенсионного обеспечения).",输入您税前支付的医疗保险保费（未包括在医疗储蓄账户、灵活支出安排或其他“自助餐式福利计划”中）。,"귀하가 HSA, FSA, 기타 “카페테리아 플랜” 부분에 포함되지 않은 건강 보험에 지급한 세전 보험료를 입력하세요. ","Nhập bất kỳ khoản phí mua bảo hiểm nào mà quý vị đã trả trước thuế cho bảo hiểm y tế mà quý vị đã không bao gồm trong HSA, FSA hoặc mục “chương trình phúc lợi tự chọn” khác.","Ingrese cualquier prima que pagó antes de los impuestos para el seguro de salud que no está incluida en la sección de las cuentas HSA, FSA y otros ""planes cafetería"".",填入您為未包含在健康儲蓄帳戶、靈活支出帳戶或其他「自助選配計劃」部分中的健康保險支付的稅前保費。
agi.p.hsaTT1,"Enter any Health Savings Account (HSA) contributions that you didn't include under HSA, FSA, or other “cafeteria plan” above.","Antre nenpòt kontribisyon Kont Epay Sante (HSA) ke ou pa t ajoute anba HSA, FSA, oubyen lòt ""plan kafeterya"" anlè a.","Введите любые взносы на Медицинский сберегательный счет (HSA), которые вы не включили в раздел HSA, FSA или другой «план кафетерия» выше.",输入您任何健康储蓄账户 (HSA) 供款（未包括在上面的医疗储蓄账户、灵活支出安排或其他“自助餐式福利计划”中）。,"HAS, FSA, 혹은 기타 ""카페테리아 플랜""에 따라 귀하가 포함하지 않은 건강 저축 계정(HAS) 기여 금액을 입력하세요.","Nhập bất kỳ khoản đóng góp nào cho Tài Khoản Tiết Kiệm Y Tế (HSA) mà quý vị đã không bao gồm trong HSA, FSA hoặc ""chương trình phúc lợi tự chọn"" ở trên.","Ingrese cualquier aportación a una cuenta de ahorro para la salud (HSA) que no está incluida en la sección de las cuentas HSA, FSA y otros ""planes cafetería"".",填入您未包含在上述健康儲蓄帳戶、靈活支出帳戶或其他「自助選配計劃」下的任何健康儲蓄帳戶 (HSA) 投入金額。
agi.p.hsaTT2,For more information visit :irsPub969,Pou plis enfòmasyon vizite :irsPub969,Для получения дополнительной информации перейдите по ссылке :irsPub969,欲了解更多信息，请访问 :irsPub969,자세한 사항은 :irsPub969를 참조하세요.,"Để biết thêm thông tin, truy cập :irsPub969","Para obtener más información, visite :irsPub969",如需瞭解更多資訊，請前往 :irsPub969
agi.p.investmentIncomeOver1,You can't claim the earned income credit if your investment income is more than :amount.,Ou pa kapab reklame Kredi Sou Revni Ou Fè si revni envèstisman ou plis pase :amount.,"Вы не можете претендовать на налоговый зачет за заработанный доход, если ваш доход от инвестиций превышает :amount.",如果您的投资收入超过 :amount，则您不能申请劳动所得抵免。,귀하의 투자 소득이 :amount이상이면 근로 소득 공제를 신청할 수 없습니다.,Quý vị không thể yêu cầu tín thuế thu nhập kiếm được nếu thu nhập đầu tư của quý vị nhiều hơn :amount.,No puede reclamar el crédito por ingreso del trabajo si su ingreso de inversiones supera el monto de :amount.,如果您的投資收入超過 :amount，則不能申領勞動所得稅務優惠。
