mapping_key,flow_key,lang-es,flow_es,en,ht,ru,zh-hans,ko,vi,zh-hant
child.label.age2,/qualifying-children/collection/familyAndHousehold//familyAndHousehold/*/ageRange/options/between19And23/name,Entre 19 y 23 años,Entre 19 y 23 años,Between 19 and 23,Ant 19 & 23,Между 19 и 23,19 至 23 岁,만 19세 이상 만 23세 미만,Từ 19 đến 23 tuổi,19 – 23 歲之間
filingStatus.label.deceasedSpouseAge2,///ageRange/options/age25to64/name,Entre 25 y 64 años,Entre 25 y 64 años,Between 25 and 64,Ant 25 ak 64 lane,В возрасте от 25 до 64 лет включительно,25 至 64 周岁,25세~64세,Từ 25 đến 64,25 至 64 歲之間
filingStatus.label.deceasedSpouseAge2,/filing-status//ageRangeSecondary/options/age25to64/name,Entre 25 y 64 años,Entre 25 y 64 años,Between 25 and 64,Ant 25 ak 64 lane,В возрасте от 25 до 64 лет включительно,25 至 64 周岁,25세~64세,Từ 25 đến 64,25 至 64 歲之間
agi.p.studentLoanTT1,/agi/modal-student-loan-interest/p-3ac7ce,"Ingrese hasta <fg-show path=""/maxStudentLoanDeduction""/> de los intereses que pagó sobre su préstamo calificado para estudios. Puede encontrar esto en su Formulario 1098-E si pagó más de $600 en intereses.","Ingrese hasta <fg-show path=""/maxStudentLoanDeduction""/> de los intereses que pagó sobre su préstamo estudiantil calificado. Puede encontrar esto en su Formulario 1098-E si pagó más de $600 en intereses.","Enter up to <fg-show path=""/maxStudentLoanDeduction""/> of the interest you paid on your qualified student loan. You can find this on your Form 1098-E if you paid more than $600 in interest.","Antre jiska <fg-show path=""/maxStudentLoanDeduction""/> enterè ou peye sou prè elèv elijib ou a. Ou ka jwenn li sou Fòmilè 1098-E ou si ou peye plis pase $600 enterè.","Укажите до <fg-show path=""/maxStudentLoanDeduction""/> процентов, которые вы выплатили по соответствующей ссуде на обучение. Вы можете найти это в форме 1098-E, если вы заплатили более $600 в виде процентов.",输入您就符合条件的学生贷款所支付的最高 2500 美元的利息。如果您支付的利息金额超过 600 美元，则您可以在表格 1098-E 上进行填写。,"적격 자녀의 학자금 대출에 지불한 이자의 최대 <fg-show path=""/maxStudentLoanDeduction""/>까지 입력합니다. $600이상 이자를 납부하였다면 귀하는 양식1098-E에서 이를 찾을 수 있습니다.",Nhập tối đa $2.500 tiền lãi mà quý vị đã trả cho khoản vay sinh viên đủ điều kiện của mình. Quý vị có thể tìm thấy mục này trên Mẫu 1089-E nếu đã trả nhiều hơn $600 tiền lãi.,"填入您為合格學生貸款支付的利息，最高 2,500 美元。如果您支付的利息超過 600 美元，您可以在《表格 1098-E》上找到此資訊。"
agi.p.selfEmploymentInsuranceFINWTT1,/agi/modal-self-employed-health-insurance/p-598073,"Ingrese el monto que pagó para el seguro de salud para usted, su cónyuge y sus personas dependientes, si trabaja por cuenta propia.","Ingrese el monto que pagó para el seguro de salud para usted, su cónyuge y sus personas dependientes, si trabaja por cuenta propia.","If you or your spouse were self employed and had a net profit for the year, you could have deducted your <fg-show path=""/taxYear""/> health insurance premiums.","Antre montan ou peye pou asirans maladi pou tèt ou, konjwen ou, epi sa k sou kont ou, si ou se yon travayè endepandan.","Введите сумму, которую вы заплатили за медицинское страхование для себя, своего супруга или супруги и своих иждивенцев, если вы ведете собственный бизнес.",如果您为自雇者，请输入您为本人、您的配偶和您的受抚养人支付的医疗保险款额。,"자영업자의 경우 자신, 배우자 자신의 부양가족을 위해 지불한 건강 보험 액수를 입력하세요.","Nhập số tiền quý vị đã trả cho bảo hiểm y tế cho bản thân, người phối ngẫu và những người phụ thuộc của mình, nếu quý vị tự kinh doanh.",如果您是自僱人士，請填入您為自己、您的配偶和您的家屬支付的醫療保險金額。
agi.p.iraTT1,/agi/modal-ira-contributions/p-5979d5,Ingrese cualquier aportación a una cuenta IRA que realizó fuera de sus aportaciones de la nómina.,Ingrese cualquier aportación a una cuenta IRA que realizó fuera de sus aportaciones de la nómina.,Enter any IRA contributions you made outside of your payroll contributions.,Antre nenpòt kontribisyon IRA ou te fè andeyò kontribisyon sou pewòl ou.,"Введите любые взносы IRA, которые вы сделали помимо взносов в фонд заработной платы.",输入您在工资供款之外的任何个人退休账户供款。,귀하의 급여 기여분을 제외하고 귀하의 IRA 기여 금액을 입력하세요.,Nhập bất kỳ khoản đóng góp cho IRA nào mà quý vị đã thực hiện ngoài khoản đóng góp trong sổ lương của mình.,填入您在工資投入金額之外所做的任何個人退休賬戶投入金額。
agi.p.hsaTT1,/agi/modal-hsa-deductions/p-2ab752,"Ingrese cualquier aportación a una cuenta de ahorro para la salud (HSA) que no está incluida en la sección de las cuentas HSA, FSA y otros ""planes cafetería"".","Ingrese cualquier aportación a una cuenta de ahorro para la salud (HSA) que no está incluida en la sección de las cuentas HSA, FSA y otros ""planes cafetería"".","Enter any Health Savings Account (HSA) contributions that you didn't include under HSA, FSA, or other “cafeteria plan” above.","Antre nenpòt kontribisyon Kont Epay Sante (HSA) ke ou pa t ajoute anba HSA, FSA, oubyen lòt ""plan kafeterya"" anlè a.","Введите любые взносы на Медицинский сберегательный счет (HSA), которые вы не включили в раздел HSA, FSA или другой «план кафетерия» выше.",输入您任何健康储蓄账户 (HSA) 供款（未包括在上面的医疗储蓄账户、灵活支出安排或其他“自助餐式福利计划”中）。,"HAS, FSA, 혹은 기타 ""카페테리아 플랜""에 따라 귀하가 포함하지 않은 건강 저축 계정(HAS) 기여 금액을 입력하세요.","Nhập bất kỳ khoản đóng góp nào cho Tài Khoản Tiết Kiệm Y Tế (HSA) mà quý vị đã không bao gồm trong HSA, FSA hoặc ""chương trình phúc lợi tự chọn"" ở trên.",填入您未包含在上述健康儲蓄帳戶、靈活支出帳戶或其他「自助選配計劃」下的任何健康儲蓄帳戶 (HSA) 投入金額。
filingStatus.h2.houseUpkeepTT,/filing-status/modal-keeping-up-home/heading,Mantener un hogar,Mantener un hogar,Keeping Up a Home,Antretyen yon Kay,Содержание дома,维持家庭开支,주택 유지 요건,Duy Trì Ngôi Nhà,維持家庭開支
filingStatus.legend.spousesPassing3,/filing-status//yearOfSpouseDeathCurrentTaxYearIsChosen/options/beforeTaxYearMinusTwo/name,"Antes del <fg-show path=""/taxYear""/>",Antes del 2023,Before 2023,Anvan 2023,До 2023,2023 之前,2023 년 이전에,Trước 2023,2023 年前
filingStatus.legend.spousesPassing3,/filing-status//yearOfSpouseDeathLastTaxYearIsChosen/options/beforeTaxYearMinusTwo/name,"Antes del <fg-show path=""/taxYear""/>",Antes del 2022,Before 2022,Anvan 2022,До 2022,2022 之前,2022 년 이전에,Trước 2022,2022 年前
filingStatus.legend.spousesPassing3,/filing-status//yearOfSpouseDeathTwoTaxYearsAgoIsChosen/options/beforeTaxYearMinusTwo/name,"Antes del <fg-show path=""/taxYear""/>",Antes del 2021,Before 2021,Anvan 2021,До 2021,2021 之前,2021 년 이전에,Trước 2021,2021 年前
children.h2.live51PctTT1,/qualifying-children/modal-residency/h3-7c913b,Vivió con usted,Vivió con usted,Lived with You,Ap viv avèk ou,Жил с вами,与您共同生活,귀하와 함께 사는,Sống cùng Quý Vị,曾與您同住
agi.a.hsaTT,/agi/modal-hsa-deductions/p-a7d9fc,"Información sobre la Publicación 969, Cuentas de ahorro para la salud y otros planes de salud favorecidos por los impuestos (en inglés)","Para obtener más información, visite <a target=""_blank"" href=""https://www.irs.gov/forms-pubs/about-publication-969"" class=""usa-link"">Información sobre la Publicación 969, Cuentas de ahorro para la salud y otros planes de salud favorecidos por los impuestos (en inglés)<span class=""usa-sr-only""> (opens in a new tab)</span></a>.","For more information visit <a target=""_blank"" href=""https://www.irs.gov/forms-pubs/about-publication-969"" class=""usa-link"">About Publication 969, Health Savings Accounts and Other Tax-Favored Health Plans<span class=""usa-sr-only""> (opens in a new tab)</span></a>.","Apwopo Piblikasyon 969, Kont Epay Sante Ak Lòt Plan Sante Non Enpozab",О публикации 969 Сберегательные медицинские счета и другие льготные планы медицинского страхования,关于第969号刊物，医疗储蓄账户和其他税收优惠的医疗计划（英文）,"간행물 969, '건강 저축 계정 그리고 기타 세금 우대 건강 플랜'에 관하여(영어)","Ấn Phẩm 969, Tài Khoản Tiết Kiệm Y Tế Và Các Gói Bảo Hiểm Y Tế Được Ưu Đãi Về Thuế Khác (tiếng Anh)",關於 969 號出版物 —— 健康儲蓄帳戶和其他稅收優惠的健康計劃（英文）
agi.label.unemploymentInsurance,/agi/fg-detail-3fa626/summary,Seguro por desempleo,Seguro por desempleo,Unemployment insurance,Asirans kont chomaj,Страхование по безработице,失业保险,실업 보험,Bảo hiểm thất nghiệp,失業保險
agi.label.unemploymentInsurance,/agi/fg-detail-3fa626//unemploymentIncome/question,Seguro por desempleo,Seguro por desempleo,Unemployment insurance,Asirans kont chomaj,Страхование по безработице,失业保险,실업 보험,Bảo hiểm thất nghiệp,失業保險
filingStatus.li.houseUpkeepTT7,/filing-status/modal-keeping-up-home/ul-1/li-5eae2b,Seguro de vida,Seguro de vida,Life insurance,Asirans lavi,Страхование жизни,人寿保险,생명보험,Bảo hiểm nhân thọ,人壽保險
agi.label.selfEmploymentInsuranceFINW,/agi/fg-detail-5c4fd4/summary,Seguro de salud del trabajo por cuenta propia,Seguro de salud del trabajo por cuenta propia,Self-employed health insurance deduction,Asirans maladi travayè endepandan,Медицинское страхование самозанятых,自雇医疗保险,자영업 건강보험,Bảo hiểm y tế tự doanh,自僱健康保險
agi.h2.wagesFederalWithheldTT3,/agi/modal-wages-salaries-tips/h3-84091c,Seguro por incapacidad temporal y de corto plazo,Seguro por incapacidad temporal y de corto plazo,Temporary &amp; Short-term Disability Insurance,Asirans Tanporè & Akoutèm Pou Envalidite,Страхование временной и краткосрочной нетрудоспособности,临时和短期残障保险,임시 및 단기 장애 보험,Bảo Hiểm Khuyết Tật Tạm Thời & Ngắn Hạn,臨時及短期傷殘保險
agi.p.mfjIncludeSpouse,/agi/p-bb8818,Asegúrese de también incluir los ingresos y ajustes de su cónyuge.,<strong>Tenga en cuenta:</strong> Asegúrese de también incluir los ingresos y ajustes de su cónyuge.,<strong>Please note:</strong> Make sure to also include your spouse's income and adjustments.,Asire w ou enkli revni konjwen w ak ajisteman yo tou.,Обязательно укажите также доход вашего супруга и поправки.,确保还包括您配偶的收入和调整。,귀하의 배우자의 소득과 조정액,Bảo đảm bao gồm cả thu nhập và các mục điều chỉnh của người phối ngẫu của quý vị.,確保還包括您配偶的收入和調整。
agi.li.unearnedOtherTT14,/agi/modal-other-taxable-income/ul-1/li-e46f68,Pensión para hijos menores,Pensión para hijos menores,Child support,Asistans pou minè,Алименты на ребенка,子女抚养,자녀 지원,Trợ cấp con cái,子女撫養費
global.heading.attention,//modal-confirm-tax-year-change/heading,Atención:,Atención,Attention,Atansyon:,Внимания:,注意：,주의:,Chú ý:,注意：
agi.li.businessTT2,/agi/modal-employee-business-expenses/ul-0/li-053ac1,Artista escénico calificado,Artista escénico calificado,Qualified performing artist,Atis Entèprèt elijib,Соответствующий требованиям исполнитель,符合条件的表演艺术家,적격 공연 예술가,Nghệ sĩ biểu diễn đủ điều kiện,合格的表演藝術家
agi.li.unearnedOtherTT18,/agi/modal-other-taxable-income/ul-1/li-f2a3d6,"Beneficio de los veteranos, incluidos los pagos de rehabilitación del Departamento de Asuntos de los Veteranos","Beneficio de los veteranos, incluidos los pagos de rehabilitación del Departamento de Asuntos de los Veteranos","Veterans' benefits, including VA rehabilitation payments","Avantaj pou veteran, enkli pèman reyabtasyon VA","Льготы для ветеранов, включая реабилитационные выплаты VA",退伍军人福利，包括退伍军人康复金,VA 재향 군인 혜택,"Phúc lợi cho cựu chiến binh, bao gồm cả các khoản thanh toán phục hồi chức năng của Bộ Cựu Chiến Binh",退伍軍人康復費等退伍軍人福利
agi.label.disabilityRetirement,/agi/fg-detail-2fc9c0//disabilityRetirementBenefits/question,Beneficios de la jubilación por incapacidad antes de la edad mínima para jubilarse,Beneficios de la jubilación por incapacidad antes de la edad mínima para jubilarse,Disability retirement benefits before minimum retirement age,Avantaj retrèt pou envalidite anvan laj minimòm retrèt,Пенсионные льготы и пособия по инвалидности до достижения минимального пенсионного возраста,最低退休年龄前的残障退休福利,최소 은퇴 나이전 장애 은퇴 수당,Phúc lợi hưu trí cho người khuyết tật trước độ tuổi nghỉ hưu tối thiểu,最低退休年齡之前的殘疾退休福利金
agi.li.unearnedOtherTT15,/agi/modal-other-taxable-income/ul-1/li-b144cb,"Beneficios de beneficencia social tales como la Asistencia Temporal para Familias Necesitadas (TANF), cupones para alimentos, asignación para la vivienda de la sección 8","Beneficios de beneficencia social tales como la Asistencia Temporal para Familias Necesitadas (TANF), cupones para alimentos, asignación para la vivienda de la sección 8","Welfare benefits such as Temporary Assistance for Needy Families (TANF), food stamps, section 8 housing allowance","Avantaj sosyal tankou Asistans Tanporè pou Fanmi nan Bezwen (TANF), bon alimantè, alokasyon pou lojman atik 8","Социальные пособия, такие как временная помощь нуждающимся семьям (TANF), талоны на приобретение продовольственных товаров, пособие на жилье по разделу 8",福利待遇，如为贫困家庭提供临时援助 (TANF)、食品券、第 8 节住房津贴,"빈곤 가정 임시 지원(TANF), 식량 지원프로그램, Section8 임대료 지원프로그램 같은 복지 혜택","Những quyền lợi trợ cấp xã hội như Chương Trình Trợ Giúp Tạm Thời Cho Các Gia Đình Gặp Khó Khăn (TANF), phiếu trợ cấp thực phẩm, tiền trợ cấp thuê nhà để ở theo mục 8",貧困家庭臨時援助 (TANF)、食物券、第 8 節住房津貼等福利
agi.p.agiDisqualifier1,/agi/fg-alert-334e2e/p-f3c23d,"Según los montos que ingresó, no puede reclamar el crédito por ingreso del trabajo porque su ingreso bruto ajustado (AGI) supera el límite para su estado civil para los efectos de la declaración y el número de hijos que reúnen los requisitos.","Según los montos que ingresó, no puede reclamar el crédito por ingreso del trabajo porque su ingreso bruto ajustado (AGI) supera el límite para su estado civil para los efectos de la declaración y el número de hijos que reúnen los requisitos.","Based on your adjusted gross income (including the adjustments you entered), you don’t qualify for the EITC for <fg-show path=""/taxYear""/>.","Baze sou montan ou antre a, ou pa kapab reklame kredi sou revni genyen yo paske AGI ou depase limit estati depo w ak kantite timoun elijib","Исходя из введенных вами сумм, вы не можете претендовать на налоговый зачет за заработанный доход, поскольку ваш AGI превышает лимит для вашего статуса подачи документов и количества детей, отвечающих требованиям.",根据您输入的款额，您不能申请劳动所得抵免，因为您的 AGI 超出了您的申请状态和符合条件的子女数量的限制。,입력한 금액에 따르면 귀하의 AGI가 귀하의 신고 지위의 한도액과 적격 자녀 수를 초과하여 근로소득공제를 신청할 수 없습니다.,"Dựa trên những số tiền bản thân đã nhập, quý vị không thể yêu cầu tín thuế thu nhập kiếm được vì có AGI vượt quá hạn mức đối với tư cách khai thuế và số lượng trẻ em đủ điều kiện của quý vị.",根據您填入的金額，您無法申領勞動所得稅務優惠，因為您的 AGI 超出了您的報稅身份和合格子女人數的限制。
children.h2.relationshipTT1,/qualifying-children/modal-relationship/h3-523a2e,Hijastro,Hijastro,Stepchild,Bèlfi,Пасынок или падчерица,继子女,의붓 자녀,Con Riêng Của Vợ/Chồng,繼子女
filingStatus.li.liveWithSpouseTT3,/filing-status/modal-spouse-lived-together/ul-0/li-d6e6cb,"Negocio,","Negocio,",Business,"Biznis,","Частное предприятие,",经营、,사업,"Kinh doanh,",業務、
filingStatus.h2.filingStatusTT1,/filing-status/modal-filing-status/p-d69332,Cabeza de familia,<strong>Cabeza de familia:</strong>,<strong>Head of Household:</strong>,chèf fanmi,Глава семьи,户主,세대주,Chủ Gia Đình,戶主
filingStatus.h2.filingStatusTT1,/filing-status//initialFilingStatus/options/headOfHousehold/name,Cabeza de familia,Cabeza de familia,Head of Household,chèf fanmi,Глава семьи,户主,세대주,Chủ Gia Đình,戶主
agi.p.wagesFederalWithheldTT4,/qualifying-children/modal-residency/p-8b99ed,"Esta elección puede aumentar o disminuir su crédito tributario por ingreso del trabajo (EITC por las siglas en inglés). Para obtener más información, visite la :irsPub596","Para obtener más información, visite la <a target=""_blank"" class=""usa-link"" href=""https://www.irs.gov/publications/p596sp"">Publicación 596, Crédito por ingreso del trabajo, Requisito de la residencia</a>.","For more information, see <a target=""_blank"" class=""usa-link"" href=""https://www.irs.gov/publications/p596"">Publication 596</a>, Earned Income Credit, residency test.","Chwa sa a ka ogmante oubyen diminye EITC ou. Pou plis enfòmasyon <a target=""_blank"" class=""usa-link"" href=""https://www.irs.gov/publications/p596"">gade</a>","Этот выбор может увеличить или уменьшить ваш EITC. Для получения дополнительной информации <a target=""_blank"" class=""usa-link"" href=""https://www.irs.gov/publications/p596"">смотрите</a> ","这一选择可能会导致您的 EITC 额上下浮动。欲了解更多信息，<a target=""_blank"" class=""usa-link"" href=""https://www.irs.gov/publications/p596"">请参阅</a> ","이 선택은 귀하의 EITC를 증가 혹은 감소시킬 수 있습니다. 더 자세한 <a target=""_blank"" class=""usa-link"" href=""https://www.irs.gov/publications/p596"">정보는</a> 를 확인하세요.","Lựa chọn này có thể làm tăng hoặc giảm EITC của quý vị. Để biết thêm thông tin, <a target=""_blank"" class=""usa-link"" href=""https://www.irs.gov/publications/p596"">xem</a> ","此選擇可能會增加或減少您的 EITC。如需瞭解更多資訊，<a target=""_blank"" class=""usa-link"" href=""https://www.irs.gov/publications/p596"">請參閱</a> "
agi.p.wagesFederalWithheldTT4,/agi/modal-wages-salaries-tips/p-d9b0e5,"Esta elección puede aumentar o disminuir su crédito tributario por ingreso del trabajo (EITC por las siglas en inglés). Para obtener más información, visite la :irsPub596","Esta elección puede aumentar o disminuir su crédito tributario por ingreso del trabajo (EITC por las siglas en inglés). Para obtener más información, visite la Paga por combate no tributable en <a target=""_blank"" class=""usa-link"" href=""https://www.irs.gov/publications/p596sp"">la Publicación 596, Crédito por ingreso del trabajo.</a>","This choice may increase or decrease your EITC. Calculate your EITC both ways to see which option provides the greater benefit. For more information, see Nontaxable combat pay in <a target=""_blank"" class=""usa-link"" href=""https://www.irs.gov/publications/p596#en_US_2025_publink1000297672"">Publication 596</a>, Earned Income Credit.","Chwa sa a ka ogmante oubyen diminye EITC ou. Pou plis enfòmasyon <a target=""_blank"" class=""usa-link"" href=""https://www.irs.gov/publications/p596#en_US_2025_publink1000297672"">gade</a>","Этот выбор может увеличить или уменьшить ваш EITC. Для получения дополнительной информации <a target=""_blank"" class=""usa-link"" href=""https://www.irs.gov/publications/p596#en_US_2025_publink1000297672"">смотрите</a> ","这一选择可能会导致您的 EITC 额上下浮动。欲了解更多信息，<a target=""_blank"" class=""usa-link"" href=""https://www.irs.gov/publications/p596#en_US_2025_publink1000297672"">请参阅</a> ","이 선택은 귀하의 EITC를 증가 혹은 감소시킬 수 있습니다. 더 자세한 <a target=""_blank"" class=""usa-link"" href=""https://www.irs.gov/publications/p596#en_US_2025_publink1000297672"">정보는</a> 를 확인하세요.","Lựa chọn này có thể làm tăng hoặc giảm EITC của quý vị. Để biết thêm thông tin, <a target=""_blank"" class=""usa-link"" href=""https://www.irs.gov/publications/p596#en_US_2025_publink1000297672"">xem</a> ","此選擇可能會增加或減少您的 EITC。如需瞭解更多資訊，<a target=""_blank"" class=""usa-link"" href=""https://www.irs.gov/publications/p596#en_US_2025_publink1000297672"">請參閱</a> "
results.p.eitcNoQualify1,/results/fg-alert-64891c/p-cdf53e,"Según la información que nos ha facilitado, no puede solicitar el crédito por ingreso del trabajo porque sus ingresos del trabajo superan el límite correspondiente a su estado civil y al número de hijos calificados.","Según la información que proporcionó, no puede reclamar el crédito por ingreso del trabajo porque su ingreso del trabajo supera el límite para su estado civil y número de hijos calificados.","Based on the information you provided, you can’t claim the earned income credit because your earned income is over the limit for your filing status and number of qualifying children.","Dapre enfòmasyon ou bay yo, ou pa kapab reklame kredi pou revni ou touche paske revni ou touche depase limit fikse pou estati deklarasyon ou ak kantite timoun ki kalifye yo.","Исходя из предоставленной вами информации, вы не имеете права на получение налогового зачета за заработанный доход, поскольку ваш заработанный доход превышает предел, установленный для вашего статуса подачи налоговой декларации и числа детей, отвечающих требованиям.",根据您提供的信息，您不能申请劳动所得税抵免，因为您的收入超过了您的申报状态和合格子女人数的限额。,귀하가 제공한 정보에 따르면 귀하의 근로 소득이 귀하의 납세자 신분 및 적격 자녀 수에 대한 한도를 초과하므로 근로 소득 공제를 신청할 수 없습니다.,"Dựa trên thông tin quý vị đã cung cấp, quý vị không thể yêu cầu tín thuế thu nhập kiếm được vì thu nhập kiếm được của quý vị vượt quá hạn mức đối với tư cách khai thuế và số lượng trẻ đủ điều kiện của quý vị.",根據您提供的信息，您無法申請勞動所得稅務優惠，因為您的勞動收入超出了您的報稅身份和合格子女數量的限制。
results.p.introTop,/results/p-578b13,"Según la información que usted proporcionó, usted es elegible para el monto estimado del crédito tributario por ingreso del trabajo de:","Según la información que usted proporcionó, usted es elegible para el monto estimado del crédito tributario por ingreso del trabajo de:        <strong><fg-show path=""/earnedIncomeCredit""/></strong>*","Based on the information you provided, you are eligible for the Earned Income Tax Credit estimated amount of:        <strong><fg-show path=""/earnedIncomeCredit""/></strong>*","Dapre enfòmasyon ou te bay yo, ou kalifye pou kantite kredi taks sou revni ke ou te fè yo:","На основании предоставленной вами информации, вы имеете право на получение налогового зачета на заработанный доход в размере:",根据您提供的信息，您有资格申请劳动所得税抵免，估计款额为：,귀하가 제공한 정보에 기초하여 귀하는 다음의 추정 근로 소득 세액공제액에 대해 적격입니다.,"Dựa trên thông tin mà bản thân đã cung cấp, quý vị đủ điều kiện nhận khoản ước tính Tín Thuế Thu Nhập Kiếm Được là:",根據您提供的資訊，您有資格獲得的勞動所得稅務優惠估算額為：
children.h3.finalBlockTitle,/qualifying-children/h2-34370a,"Según sus datos, tiene :num hijos calificados con números de Seguro Social válidos.","Según sus datos, tiene <fg-show path=""/eitcQualifyingChildren""/> hijos calificados con números de Seguro Social válidos.","Based on your answers, you have <fg-show path=""/eitcQualifyingChildren""/> children who qualify for the purposes of claiming and calculating EITC","Dapre sa w antre, ou gen <fg-show path=""/eitcQualifyingChildren""/> timoun ki kalifye ak nimewo Sekirite Sosyal ki valab.","Согласно вашим данным, у вас есть <fg-show path=""/eitcQualifyingChildren""/> детей, соответствующих установленным требованиям, с действительными номерами социального страхования.","根据您的输入，您有 <fg-show path=""/eitcQualifyingChildren""/> 个具有有效社会保障号码的合格子女。","입력한 내용에 따르면, 유효한 사회 보장 번호를 가진 적격 자녀 수는 <fg-show path=""/eitcQualifyingChildren""/>명입니다.","Dựa trên thông tin đầu vào của quý vị, quý vị có <fg-show path=""/eitcQualifyingChildren""/> trẻ đủ điều kiện với số An Sinh Xã Hội hợp lệ.","根據您的輸入，您有 <fg-show path=""/eitcQualifyingChildren""/> 名具有有效社會安全號碼的合格子女。"
qualifyingChildren.p.maxChildernParagraph,/qualifying-children/p-5aea65,"Según sus datos, tiene 3 hijos calificados con números de Seguro Social válidos y ha alcanzado el número máximo que se puede solicitar para el EITC.","Según sus datos, tiene <fg-show path=""/eitcQualifyingChildren""/> hijos calificados con números de Seguro Social válidos. Puede solicitar el EITC para un máximo de tres hijos calificados.","Based on your answers, you have <fg-show path=""/eitcQualifyingChildren""/> qualifying children and have reached the maximum number of qualifying children that can be claimed with the EITC.","Dapre sa w antre, ou gen 3 timoun ki kalifye ki gen nimewo Sekirite Sosyal ki valab epi ou rive nan kantite maksimòm ou ka reklame pou EITC.","Согласно вашим данным, у вас есть 3 ребенка с действующими номерами социального страхования, и вы достигли максимального числа таких детей, на которых можно претендовать для получения EITC.",根据您输入的信息，您有 3 名符合条件的子女，他们都有有效的社会保障号码，并已达到可申请 EITC 的最大人数。,입력한 내용에 따르면 유효한 사회 보장 번호를 가진 적격 자녀가 3명이며 EITC를 청구할 수 있는 최대 인원에 도달했습니다.,"Dựa trên thông tin đầu vào của quý vị, quý vị có 3 trẻ đủ điều kiện có số An Sinh Xã Hội hợp lệ và đã đạt đến số lượng tối đa được kê khai để nhận EITC.",根據您的輸入，您有 3 名符合資格的子女，他們擁有有效的社會安全號碼，並且已達到 EITC 申報的最大數量。
agi.label.hsa,/agi/fg-detail-2c1033/summary,"Deducción de la cuenta de ahorro para la salud (HSA, por las siglas en inglés) que no está incluida en las deducciones de la nómina","Deducción de la cuenta de ahorro para la salud (HSA, por las siglas en inglés) que no está incluida en las deducciones de la nómina",Health Savings Account (HSA) deductions that are not included in payroll deductions,Dediksyon Kont Epay Sante (HSA) ki pa enkli nan dediksyon pewòl,"Вычеты с медицинского сберегательного счета (HSA), которые не включены в вычеты из заработной платы",未包含在工资扣减中的医疗储蓄账户 (HSA) 扣减,급여 공제에 포함되지 않은 건강 저축 계정(HAS) 소득공제,Những khoản khấu trừ Tài Khoản Tiết Kiệm Y Tế (HSA) không được bao gồm trong các khoản khấu trừ tiền lương,不包括在工資扣除額中的健康儲蓄帳戶 (HAS) 扣除額
agi.label.ira,/agi/fg-detail-57c26a/summary,Deducción para las aportaciones a una cuenta IRA que no está incluida en las deducciones de la nómina,Deducción para las aportaciones a una cuenta IRA que no está incluida en las deducciones de la nómina,Deduction for contributions to an IRA that is not included in payroll deductions,Dediksyon pou kontribisyon a IRA ki pa enkli nan dediksyon pewòl,"Вычет на взносы в IRA, не включенные в вычеты из заработной платы",未包含在工资扣减中的个人退休计划供款扣减,급여 소득 공제에 포함되지 않은 IRA기여에 대한 소득공제,Khoản khấu trừ cho những đóng góp cho IRA không được bao gồm trong các khoản khấu trừ tiền lương,不包括在工資扣除額中的個人退休帳戶投入金額扣除額
filingStatus.h2.fileJointTT,/filing-status/modal-qualifying-child-eitc/ul-1/li-ca34c2,Declaración conjunta,Declaración conjunta,Joint Return,deklarasyon kolektif,"Налоговая декларация, совместно подаваемая обоими супругами",联合申报,공동 신고,Khai Thuế Chung,共同報稅表
filingStatus.h2.fileJointTT,/filing-status/modal-joint-return-mfj/heading,Declaración conjunta,Declaración conjunta,Joint Return,deklarasyon kolektif,"Налоговая декларация, совместно подаваемая обоими супругами",联合申报,공동 신고,Khai Thuế Chung,共同報稅表
filingStatus.h2.intendJointReturnDeceasedTT,/filing-status/modal-joint-deceased-spouse/heading,Declaración conjunta con un cónyuge fallecido,Declaración conjunta con un cónyuge fallecido,Joint Return with Deceased Spouse,deklarasyon kolektif ak konjwen ki mouri a,Совместная декларация с умершим супругом,与已故配偶联合申报,사망한 배우자와 공동신고,Khai Thuế Chung với Người Phối Ngẫu Đã Qua Đời,與已故配偶申報共同報稅表
children.h2.fileJointTT,/qualifying-children/modal-joint-return/heading,Declaración conjunta con otra persona,Declaración conjunta con otra persona,Joint Return with Another Person,deklarasyon kolektif ak yon lòt moun,Совместная налоговая декларация с другим лицом,与他人联合申报的,다른 사람과 함께 공동 신고,Khai Thuế Chung với Một Người Khác,與他人共同報稅表
agi.label.educator,/agi/fg-detail-9166fe/summary,Gastos de educador calificados,Gastos de educador calificados,Educator expense deduction,Depans Edikatè elijib,Соответствующие требованиям расходы на образование,符合条件的教育人员支出,적격 교육자 비용,Chi phí của giáo viên đủ điều kiện,符合資格的教育者費用
filingStatus.li.houseUpkeepTT8,/filing-status/modal-keeping-up-home/ul-1/li-c64365,"Costos de transporte, tal como seguro, pagos de arrendamiento, o transporte público","Costos de transporte, tal como seguro, pagos de arrendamiento, o transporte público","Transportation costs like insurance, lease payments, or public transportation","Depans transpò tankou asirans, peman lwaye, oswa transpò piblik","Транспортные расходы, такие как страховка, арендные платежи или общественный транспорт",保险、租赁付款或公共交通等交通费用,"자동차 보험료, 리스료, 대중교통비 등 교통 관련 비용","Chi phí vận chuyển như bảo hiểm, thanh toán tiền thuê nhà hoặc phương tiện giao thông công cộng",保險、租賃付款或公共交通等交通費用
